@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_en numeric

@data
1.2,20,Comedy,15193
28,1,Adventure,394970
24,20,Adventure,222591
6.8,1,Drama,30879
12.8,3,Drama,67759
4.2,5,Drama,137034
23.6,10,Drama,83936
3.4,1,Drama,12321
20,1,Adventure,905216
20,1,Adventure,741279
23.6,30,Adventure,572356
26,30,Adventure,499216
26,30,Adventure,557971
9.6,20,Drama,175742
8.8,8,Drama,55024
30,1,Drama,214884
10.4,1,Drama,123210
14.6,20,Adventure,187058
20.25,1,Drama,42776
8.6,3,Adventure,104214
8.6,8,Drama,67385
23.6,1,Drama,73346
17.5,30,Drama,61243
16,8,Adventure,133118
14,1,Action,220441
20,3,Adventure,474299
1.2,1,Drama,20025
11.6,8,Drama,284669
21,1,History,183741
9,1,Drama,33709
8.6,1,Drama,7268
14.8,20,Drama,23622
16.4,5,Horror,80715
18.2,1,Drama,25104
16.8,3,Action,205054
30,30,Drama,329666
20,5,Drama,18699
16.4,20,Drama,19406
14.4,1,Thriller,378690
18.6,30,Drama,173354
12.4,20,Drama,32185
8.6,30,Horror,21896
14.2,1,Drama,67046
22,10,Adventure,144037
8.6,1,Drama,28497
14.4,10.5,Action,29896
5.6,1,Horror,120828
14.2,1,Horror,40538
3.25,1,Horror,13744
19.6,20,Adventure,220272
24.2,1,Drama,115984
10.8,3,Drama,24703
32.5,20,Drama,46031
1,3,Drama,26003
16.2,30,Action,220226
27,3,Adventure,164514
17,8,Adventure,107979
4.8,3,Adventure,12395
18.2,1,Drama,74765
6.6,3,Comedy,69230
8.4,20,Drama,17187
1.2,1,Drama,47374
2.6,1,Drama,92850
2.4,1,Drama,26878
3.5,1,Drama,12495
16.4,1,Comedy,64474
12.2,3,Adventure,36651
14.2,1,Comedy,15178
11,1,Drama,4378
14.8,1,Comedy,115789
7,20,Adventure,69956
22,20,Drama,217633
17.8,1,Drama,96454
5.6,1,Drama,69503
20,20,Drama,322918
8.8,1,Drama,37655
18.4,5,Action,61675
20.2,1,Drama,118976
26,8,Drama,54375
18.2,1,Action,412822
9.4,1,Drama,31165
14.2,30,Western,56464
16.2,1,Drama,60099
13,8,Drama,46734
16.2,1,Comedy,20538
22,8,Adventure,264474
9.2,10.5,Fantasy,504009
16.2,8,Drama,75291
18,3,'Science Fiction',62573
21.6,1,Comedy,93668
13.6,20,Thriller,6650
11.6,1,Comedy,15590
12.4,20,Drama,19324
22.2,20,Adventure,388425
8.5,8,Horror,91935
8,1,Action,58945
14.2,10,Drama,33890
5.6,1,Drama,2001
11.25,1,Action,24284
18.2,1,Drama,59399
18.4,20,Drama,69714
1,3,Horror,406
12.2,10.5,Comedy,327318
8,30,Drama,275743
20,10,Action,197681
14.2,3,Drama,115881
26,4.5,Adventure,74753
15.6,10,Drama,48171
26,5,Drama,438775
24,8,Adventure,63684
17.8,1,Comedy,47410
16.2,2,Comedy,193333
16,1,Drama,19547
30,20,Drama,137474
11,8,Adventure,106892
10.6,1,Action,54700
25,30,Drama,72812
20,20,Drama,13363
14,1,Drama,11807
28,3,Thriller,32539
20,3,Adventure,60563
3,1,Adventure,4495
4.4,1,Adventure,13840
11.6,3,Action,8540
10,1,Drama,40040
11,20,Adventure,154250
7,1,Comedy,43076
9.8,3,Drama,26618
12.75,8,Comedy,89471
18.4,20,Action,17860
1.4,1,Comedy,1019
1,8,Drama,2438
6.8,20,Drama,93559
22.5,8,Adventure,115564
16.8,1,Drama,17001
17.6,1,Drama,16725
12,1,Drama,11258
22.2,1,Drama,19037
10,1,Drama,66333
18.4,5,Thriller,198001
26,30,Drama,193521
16.2,20,Drama,118291
1,1,Documentary,20237
24.2,7.0952,Drama,64674
6.6,1,Adventure,19252
22.4,20,Adventure,155074
2.8,1,Fantasy,30560
28,30,Adventure,220658
15.2,3,Drama,44494
20,8,Comedy,92789
12.8,1,Fantasy,161226
18.4,8,Comedy,36907
24.2,3,Drama,175002
22.4,1,Drama,122645
9.2,1,Drama,80235
9.2,20,Comedy,188233
17.8,20,Comedy,102312
17,20,Comedy,132843
15,20,Comedy,118106
10.75,1,Fantasy,120520
20.4,3,Adventure,63221
24,20,Adventure,146562
24,1,Adventure,42535
18.4,10,Comedy,13081
14.4,1,Adventure,45514
12,1,Fantasy,90184
8.4,3,Drama,1248
10.2,1,Action,64365
10.2,1,Action,42475
10.2,1,Action,33026
9.8,30,Comedy,1088
18.6,1,Drama,85983
18.2,5,Drama,13120
8.6,30,Documentary,68652
9,5,Comedy,15846
1,10,Drama,13355
10.5,3,Adventure,13704
5,3,Adventure,21752
5,1,Drama,6896
5.4,1,Adventure,9062
3.4,1,Drama,937
8.2,1,Action,15230
9.2,3,Adventure,159413
22,1,Adventure,111043
14.2,3,Adventure,313064
24,5,Drama,434341
24,8,Drama,372553
18,8,Drama,525674
3.8,3,Drama,2980
10.4,1,Comedy,68259
16.4,3,Fantasy,29127
36,30,Drama,278836
28,5,Drama,24708
12.2,10,Drama,80837
9.4,10,Comedy,46065
4.4,1,Fantasy,2741
10.2,30,Comedy,96731
15.8,1,Drama,21662
4.6,8,Comedy,8331
17,1,Fantasy,9818
16.2,1,Drama,6772
10.4,20,Action,43885
5.8,30,Drama,66784
8.4,1,Comedy,30502
18.2,20,Fantasy,57448
12.4,1,Action,8868
14.4,30,Drama,17028
9,3,Drama,39948
22,1,Action,52817
