@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6,8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_cn numeric

@data
6.8,5,Drama,2438
4.8,1,Adventure,1115
30,30,Adventure,44864
18,5,Fantasy,1733
22,8,Adventure,48397
16.2,8,Adventure,3513
18,3,Drama,120557
21.6,1,Comedy,542
9,3,Drama,964
5.4,20,Drama,15839
30,1,Drama,1928
10.8,3,Drama,7890
16.2,1,Action,10648
8.6,1,Adventure,490
6.25,1,Drama,23026
9.8,1,Adventure,397
15.25,1,Adventure,16090
15.25,3,Drama,4370
11.25,1,Documentary,45714
22,3,Adventure,6189
3.2,1,Drama,2228
10.6,3,Drama,7909
14,3,Horror,1889
1.75,1,Adventure,1801
7.25,1,Action,1822
8.25,20,Action,1268
2.8,20,Horror,25
2.8,3,Horror,3075
8.6,3,Horror,20195
20,3,Action,77291
6.2,1,Horror,62
4.8,20,Action,1326
3.4,1,Drama,1065
5.2,3,Drama,287
28,1,Drama,9140
22,3,Drama,3144
24.2,1,Drama,4245
21,20,Adventure,55722
5.75,2,Drama,3622
22,20,Adventure,150957
22,1,Adventure,68525
16.4,30,Drama,2944
18,10,Adventure,53003
17.5,30,Adventure,42670
22.4,5,Action,49943
22,1,Drama,870
30,20,Adventure,103834
5.75,30,Documentary,83
9.6,30,Action,39
13,30,Documentary,11827
7.3333,30,History,378
5.6,3,Documentary,15666
12.4,1,Drama,289
5.25,1,Drama,23997
12.4,2,Comedy,926
1,3,Drama,36674
24,1,Drama,29429
3,8,Drama,139
1.25,1,Comedy,3637
22.8,3,Drama,39920
6.6,20,Drama,283
26,1,Drama,82531
22,25,Comedy,2111
14.2,20,Comedy,137018
10.8,1,Drama,841
15.25,1,Drama,2291
20,1,Drama,120563
11.8,1,Drama,79
30,20,Adventure,4351
12.6,8,Drama,3141
8.2,1,Thriller,72
1,3,Drama,0
4.6,1,Documentary,37
13.2,10,Drama,52049
6.6,20,Comedy,3032
15.5,20,Drama,7586
20,10,Drama,11278
14.4,1,Animation,2168
26,30,Adventure,165056
1.2,20,Comedy,988
28,1,Adventure,141729
24,20,Adventure,3169
6.8,1,Drama,1023
12.8,3,Drama,1285
4.2,5,Drama,387
23.6,10,Drama,33443
3.4,1,Drama,538
20,1,Adventure,34215
20,1,Adventure,31696
23.6,30,Adventure,43098
26,30,Adventure,35609
26,30,Adventure,37895
9.6,20,Drama,6164
8.8,8,Drama,5693
30,1,Drama,26275
10.4,1,Drama,66793
14.6,20,Adventure,13156
20.25,1,Drama,10053
8.6,3,Adventure,1034
8.6,8,Drama,10258
23.6,1,Drama,7131
17.5,30,Drama,1903
16,8,Adventure,6748
14,1,Action,36498
20,3,Adventure,105416
1.2,1,Drama,4712
11.6,8,Drama,88833
21,1,History,41583
9,1,Drama,927
8.6,1,Drama,350
14.8,20,Drama,547
16.4,5,Horror,5510
18.2,1,Drama,2947
16.8,3,Action,36628
30,30,Drama,71007
20,5,Drama,936
16.4,20,Drama,429
14.4,1,Thriller,271648
18.6,30,Drama,8479
12.4,20,Drama,854
8.6,30,Horror,227
14.2,1,Drama,7631
22,10,Adventure,12350
8.6,1,Drama,164
14.4,10.5,Action,5148
5.6,1,Horror,4813
14.2,1,Horror,5628
3.25,1,Horror,2512
19.6,20,Adventure,35383
24.2,1,Drama,12127
10.8,3,Drama,2841
32.5,20,Drama,78274
1,3,Drama,12930
16.2,30,Action,18661
27,3,Adventure,54090
17,8,Adventure,24011
4.8,3,Adventure,11459
18.2,1,Drama,1716
6.6,3,Comedy,48440
8.4,20,Drama,354
1.2,1,Drama,12074
2.6,1,Drama,20737
2.4,1,Drama,3813
3.5,1,Drama,2853
16.4,1,Comedy,1370
12.2,3,Adventure,1728
14.2,1,Comedy,2954
11,1,Drama,30
14.8,1,Comedy,1759
7,20,Adventure,988
22,20,Drama,16023
17.8,1,Drama,3524
5.6,1,Drama,1283
20,20,Drama,31417
8.8,1,Drama,4178
18.4,5,Action,1643
20.2,1,Drama,51686
26,8,Drama,1993
18.2,1,Action,97287
9.4,1,Drama,3054
14.2,30,Western,1773
16.2,1,Drama,2668
13,8,Drama,34885
16.2,1,Comedy,2976
22,8,Adventure,72169
9.2,10.5,Fantasy,117807
16.2,8,Drama,10451
18,3,'Science Fiction',11126
21.6,1,Comedy,2962
13.6,20,Thriller,75
11.6,1,Comedy,113
12.4,20,Drama,189
22.2,20,Adventure,100096
8.5,8,Horror,1057
8,1,Action,5138
14.2,10,Drama,1260
5.6,1,Drama,0
11.25,1,Action,347
18.2,1,Drama,1518
18.4,20,Drama,1389
1,3,Horror,0
12.2,10.5,Comedy,45867
8,30,Drama,6713
20,10,Action,32623
14.2,3,Drama,2719
26,4.5,Adventure,6467
15.6,10,Drama,1956
26,5,Drama,53930
24,8,Adventure,928
17.8,1,Comedy,3065
16.2,2,Comedy,14309
16,1,Drama,0
30,20,Drama,13062
11,8,Adventure,10362
10.6,1,Action,7665
25,30,Drama,713
20,20,Drama,404
14,1,Drama,1041
28,3,Thriller,1114
20,3,Adventure,1865
3,1,Adventure,0
4.4,1,Adventure,466
11.6,3,Action,191
10,1,Drama,747
11,20,Adventure,5730
7,1,Comedy,133
9.8,3,Drama,373
12.75,8,Comedy,2661
18.4,20,Action,875
1.4,1,Comedy,0
1,8,Drama,0
6.8,20,Drama,38843
22.5,8,Adventure,11510
