@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
10.4,10,Drama,63463
13,20,Adventure,152427960
12.8,20,Adventure,191185897
6.4,20,Adventure,156167015
20.6,1,Adventure,352194034
10.2,3,Drama,80049764
11.2,20,Drama,254700832
16,1,Drama,116700000
20.2,1,Adventure,333011068
17,8,Action,356830601
18,30,Drama,672806292
4.6,20,Drama,43984230
10.4,20,Horror,30039392
22,1,Fantasy,132511035
24,3,Action,245676146
20.2,20,Horror,25836616
7.3333,1,Animation,83320000
10,12.5,Adventure,5028948
1,20,Horror,242623
8.6,8,Horror,29400000
7.2,8,Fantasy,5923044
28,20,Adventure,933959197
16.6,1,Horror,74558115
20,30,Drama,46836394
7.2,1,Drama,400176459
12.6,8,Comedy,476684675
12.6,8,Adventure,358991681
16.6,2,Drama,100523181
24,1,Thriller,12532777
6.8,20,Drama,77737889
1,1,Drama,5770254
14,1,Drama,47383689
26,5,Drama,478207520
22.75,8,Drama,441286195
4.8,5,Horror,21378361
12.8,1,Horror,46201432
22,10,Drama,138530565
5.6,8,Horror,60922980
14.6,5,Fantasy,198685114
20,1,Drama,75902208
14.4,8,Drama,123922370
7.6,30,Drama,9250000
6,8,Comedy,12000000
6.8,30,Drama,33395426
12.4,1,Drama,119188334
30,30,Thriller,327311859
24,3,Adventure,484409218
21.6,12,Adventure,919838758
21.6,4.5,Adventure,798958165
12.6,20,Adventure,504050219
5.4,1,Comedy,83453539
6.6,5,Horror,31973249
18,1,Comedy,67683989
17.6,1,Adventure,310940086
20.2,1,Comedy,296633907
22.4,8,Drama,165615285
26,10,Drama,205405498
8.4,1,Drama,10000000
22,20,Drama,179213434
20,1,Drama,3970078
5.8,1,Drama,33300000
15.25,30,Drama,30000000
5,1,'Science Fiction',3250000
14.4,20,Fantasy,111340801
2.8,5,Horror,2120439
7,30,Drama,140000000
9.2,30,Drama,303788635
7.2,30,Adventure,30925690
13.2,1,Drama,3537961
6.6,20,Drama,12854953
14.6,20,Fantasy,19271312
3.2,10,Thriller,7000000
14.4,20,Thriller,189198313
8.4,20,Adventure,57269863
