@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4,6-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute score_cn numeric

@data
12.8,30,Adventure,8.5
24,20,Adventure,7.9
18.2,15,Action,8.8
18.2,15,Adventure,8.3
18.2,15,Adventure,8.5
10.6,3,Drama,8.5
28,20,Adventure,7.9
24,20,Adventure,7.5
3,20,Horror,6.9
17.2,30,Drama,7.8
6.6,8,Drama,8.6
12.4,30,Drama,7.8
16.6,20,Drama,7.8
12.2,3,Drama,7
1.2,1,Drama,7.9
9,3,Drama,7.9
15.2,5,Fantasy,6.7
8.4,3,Romance,7.4
11,30,Horror,7.2
11.8,1,Comedy,7.7
8.4,1,Drama,8.3
20,20,Drama,8.5
34,1,Horror,8.3
11.6,30,Drama,8.6
3.6,1,Adventure,8.1
16.2,1,Drama,7.5
16.8,1,Horror,7
4.4,30,Drama,7.1
8.6,30,Drama,9.5
6.6,30,Drama,8.1
14.2,3,Drama,8.2
24.2,30,Drama,8.7
15,8,Drama,8.7
9.4,1,Drama,8.7
1,1,Drama,8.5
12.4,30,Adventure,8.6
9,1,Adventure,7
22,1,Drama,8.1
9.2,5,Drama,7.9
28,20,Adventure,7.4
8.4,1,Drama,7.9
8.4,1,Drama,8.6
8.6,1,Adventure,7.2
5.6,8,Adventure,7.1
6.75,1,Adventure,6.8
20,8,Adventure,7.2
6.4,8,Adventure,8.6
2.8,1,Drama,8.7
6.2,1,Adventure,6.8
10.2,1,Adventure,6.6
8.6,20,Drama,8.2
28,8,Adventure,8.6
26,8,Adventure,8.1
28,20,Adventure,8.1
30,20,Adventure,8
30,20,Adventure,7.7
30,30,History,7.8
17.6,30,Horror,7.9
30,30,Thriller,8.7
8.4,8,Adventure,6.8
13.2,8,Adventure,6.8
26,20,Drama,8.3
8.8,30,Drama,8
14,30,Drama,8.5
8,1,Adventure,7
22,1,Comedy,7.1
11.2,30,Horror,8
16,5,Drama,7.8
14.6,20,Drama,8.3
10.8,1,Adventure,6.9
11.4,20,Adventure,7
8.8,20,Adventure,6.8
7,1,Drama,8.3
7.2,20,Drama,8.5
4.8,1,Comedy,8.5
10.4,10,Drama,8.6
13,20,Adventure,6.9
12.8,20,Adventure,7
6.4,20,Adventure,6.8
20.6,1,Adventure,7.5
10.2,3,Drama,8
11.2,20,Drama,7.4
16,1,Drama,8
20.2,1,Adventure,7.2
17,8,Action,7.6
18,30,Drama,8.8
4.6,20,Drama,8.8
10.4,20,Horror,7.7
22,1,Fantasy,8.8
24,3,Action,8.4
20.2,20,Horror,7.5
7.3333,1,Animation,8.8
10,12.5,Adventure,8
1,20,Horror,7.7
8.6,8,Horror,7
7.2,8,Fantasy,7.2
28,20,Adventure,7.3
16.6,1,Horror,7.3
20,30,Drama,8.3
7.2,1,Drama,9.2
12.6,8,Comedy,8
12.6,8,Adventure,7.7
16.6,2,Drama,8.2
24,1,Thriller,8.7
6.8,20,Drama,8.6
1,1,Drama,8.4
14,1,Drama,8.1
26,5,Drama,7.6
22.75,8,Drama,7.7
4.8,5,Horror,6.3
12.8,1,Horror,5.5
22,10,Drama,8.1
5.6,8,Horror,7.4
14.6,5,Fantasy,7.9
20,1,Drama,6.5
14.4,8,Drama,7.9
7.6,30,Drama,7.7
6,8,Comedy,8.9
6.8,30,Drama,7.9
12.4,1,Drama,6.2
30,30,Thriller,8.7
24,3,Adventure,7.8
21.6,12,Adventure,7.5
21.6,4.5,Adventure,7.2
12.6,20,Adventure,8
5.4,1,Comedy,7.4
6.6,5,Horror,7
18,1,Comedy,6.2
17.6,1,Adventure,6.3
20.2,1,Comedy,6.2
22.4,8,Drama,7.8
26,10,Drama,8.8
8.4,1,Drama,9
22,20,Drama,7.9
20,1,Drama,7.1
5.8,1,Drama,8.3
15.25,30,Drama,8.3
5,1,'Science Fiction',7.8
14.4,20,Fantasy,7.2
2.8,5,Horror,7.3
7,30,Drama,7.7
9.2,30,Drama,7.2
7.2,30,Adventure,6.3
13.2,1,Drama,7.6
6.6,20,Drama,8.5
14.6,20,Fantasy,7.4
3.2,10,Thriller,7.8
14.4,20,Thriller,6.9
8.4,20,Adventure,7
3.2,1,Fantasy,6.8
3.4,1,Adventure,0
3.6,1,Comedy,7.8
23,3,War,8.3
12.6,8,Fantasy,7.8
18,20,Action,8.5
10.8,20,Fantasy,7.6
16.2,30,Drama,8.8
16.8,3,Drama,7.9
20,1,Drama,7.6
11.6,10,Thriller,7.3
18.2,20,Adventure,7.6
16.2,20,Animation,8.1
22,20,Animation,8
4,8,Comedy,8.7
8.8,1,Action,6.6
22.6,20,Drama,7.8
18,1,Drama,6.3
1,20,Drama,7.4
24,30,Adventure,6.8
7,1,Adventure,8.1
3.8,8,Comedy,8.9
10.8,30,Drama,8.4
8.6,1,Drama,7.8
6,1,Adventure,8.2
18.6,30,Adventure,6.9
23.6,3,Drama,7.9
12.8,20,Drama,7.9
5.75,8,Drama,8.2
8.8,1,Fantasy,7.1
3.6,1,Comedy,6.1
14.4,1,Drama,7.9
1.6,2,Fantasy,8.1
1,3,Drama,8.7
1,3,Drama,8.8
2.75,3,Drama,8.9
4.8,30,Drama,9.2
6.8,2,Adventure,8
12.4,1,Drama,8.1
7.6,1,Drama,8.5
17,3,Drama,7.1
5.75,30,Comedy,8.9
9.8,1,Drama,7.6
16.2,1,Comedy,6.5
22,12.5,Adventure,7.7
14.2,20,Drama,8.7
1,8,Horror,7.2
12,30,Fantasy,7.4
5,3,Drama,8
18,1,Comedy,7.8
5,20,Fantasy,7
5.2,20,Fantasy,6.7
12.8,20,Action,6.9
1.25,1,Drama,8.6
9.4,30,Drama,8.7
10.2,1,Comedy,7.2
10.8,1,Western,8.7
18.2,8,Adventure,7
18.2,8,Adventure,7
21.6,8,Adventure,6.7
24,8,Adventure,6.4
15,1,Adventure,8.6
4.2,5,Horror,6.4
24,5,Drama,8.4
16,20,Adventure,8
15.2,5,Comedy,6.6
17.6,17.5,Animation,7.7
23.6,3,Adventure,7.9
24,3,Adventure,7
24,30,Adventure,7.3
12.6,20,Comedy,6.9
5.2,30,Adventure,8.9
3.6,20,Thriller,7.6
13.6,1,Adventure,7.4
8.6,30,Drama,7.9
14.6,20,Drama,7.1
7.2,3,Thriller,7.3
9.6,1,Action,7.6
2.8,30,Fantasy,7.9
12.75,1,Drama,7.9
9,1,Drama,7.7
7.4,1,Drama,7.7
6.25,20,Adventure,8.2
2.4,5,Drama,8.5
14.2,30,Drama,8.3
10.6,20,Fantasy,7.3
18.2,10,Drama,7.8
6.6,8,Action,7.6
5.6,3,Drama,7.6
6.4,1,Drama,8.1
16.2,3,Action,7.4
10.2,1,Thriller,8.3
12.8,5,Horror,7.8
9.8,5,Thriller,8.2
5,1,Drama,8.3
13.6,5,Action,6.4
6.6,20,Drama,8
8,1,Drama,7.2
34,30,Drama,8.8
26,30,Drama,7.7
5.75,1,Drama,8.3
24.2,20,Drama,8
21.6,1,Drama,8.3
11,40,Drama,8.2
30,40,Drama,7.3
18.2,20,Drama,7.1
20.2,1,Drama,6.5
15.6,1,Fantasy,6.3
3.2,30,Adventure,8
28,1,Drama,7.4
8.2,1,Drama,7.2
14,1,Comedy,6.5
23,3,Drama,7.8
20,20,Fantasy,7.8
15.6,1,Adventure,7.8
24.2,20,Drama,6.5
8.8,1,Animation,7.6
9,1,Comedy,7.8
18.4,30,Adventure,7.6
30,20,Thriller,6.9
23,1,Adventure,6.3
1,1,Drama,8.6
9.8,20,Comedy,7.9
18,1,Drama,7.7
14.6,1,Drama,8.7
6.6,1,Drama,7.6
14.4,20,Drama,7.4
16.6,5,Drama,8.5
16.6,40,Drama,8.1
14.8,1,Adventure,8.1
16.4,1,Adventure,7.7
14.4,1,Adventure,7.4
16.6,40,Drama,7.9
14.2,20,Drama,8.5
18.6,40,Drama,7.4
14.8,5,Drama,7.6
2.8,1,Drama,7.8
7.6,3,Drama,7.9
21.4,8,Adventure,7
24,20,Comedy,6.4
10.4,20,Drama,7.4
18.6,5,Drama,8.9
15.6,1,Adventure,7.3
6.8,20,Adventure,6.8
11.8,1,Drama,6.2
11,5,Drama,7.8
10.6,1,Drama,7.3
10.2,20,Fantasy,7.8
30,30,Drama,7.2
5.2,20,Fantasy,8.4
26,20,Action,7.4
28,3,Drama,7.9
7.2,30,Documentary,8.6
2.8,20,Fantasy,7.2
1,3,Drama,8.1
17.6,1,Drama,7.7
14.4,1,Drama,6
16,10,Drama,7.5
19.6,30,Adventure,6.5
8.4,20,Drama,8.2
18,20,Fantasy,6.9
26,1,Fantasy,7.6
12.4,20,Adventure,7.3
16.4,1,Action,6.8
28,20,Adventure,8.2
1,1,Drama,0
9.4,1,Adventure,6.7
4.8,10,Adventure,7.4
6.2,3,Adventure,6.2
24,1,Drama,7.9
12.2,1,Action,5.9
14.6,8,Action,6.9
20.6,5,Drama,7.4
24,20,Adventure,8.7
10.6,3,Comedy,6.8
5.4,8,Drama,8
14.2,1,Drama,7.5
16.2,10,Drama,7.2
12,1,Horror,6.1
20,1,Drama,6.4
12.6,20,Drama,7.4
12.4,1,Drama,8
24.4,1,Horror,6.7
1,3,Documentary,8.3
24,20,Action,7.6
28,3,Action,7.8
14.6,20,Action,7.7
16,1,Drama,8.5
30.25,20,Horror,7.8
22.2,1,Horror,7.6
13.4,30,Drama,8.3
3.2,30,Adventure,8.5
5.2,10,Drama,8
24,1,Comedy,7.6
9.4,1,Comedy,7.8
6.4,5,Fantasy,9.2
13.6,20,Thriller,7
25,1,Drama,8.6
14.4,20,Comedy,6.9
18.2,1,Drama,8.4
18.2,1,Adventure,7.2
13.8,1,Comedy,7.4
23.6,1,Comedy,7.1
14.6,30,Thriller,7.3
2,1,Drama,0
10.8,40,Drama,8.6
2.8,1,Comedy,0
14.4,3,Adventure,6.6
20,1,Drama,7
15.6,5,Comedy,7.6
9.4,1,Drama,7.1
14.4,1,Drama,6.5
12.6,1,Comedy,7.5
2.4,20,Drama,8.4
1.4,20,Drama,7.2
16,1,Drama,7.9
6.8,5,Drama,8.5
4.8,1,Adventure,8.3
30,30,Adventure,7
18,5,Fantasy,6.7
22,8,Adventure,8
16.2,8,Adventure,5.8
18,3,Drama,8.6
21.6,1,Comedy,6.4
9,3,Drama,6.7
5.4,20,Drama,7.3
30,1,Drama,7.5
10.8,3,Drama,8.5
16.2,1,Action,7
8.6,1,Adventure,6.8
6.25,1,Drama,8.4
9.8,1,Adventure,7.5
15.25,1,Adventure,6.9
15.25,3,Drama,7
11.25,1,Documentary,8.6
22,3,Adventure,7.7
3.2,1,Drama,8.4
10.6,3,Drama,8.3
14,3,Horror,6.2
1.75,1,Adventure,6.3
7.25,1,Action,7.5
8.25,20,Action,6.7
2.8,20,Horror,3
2.8,3,Horror,7.2
8.6,3,Horror,8.3
20,3,Action,8.1
6.2,1,Horror,6.3
4.8,20,Action,6.4
3.4,1,Drama,8
5.2,3,Drama,7.5
28,1,Drama,8.2
22,3,Drama,7.1
24.2,1,Drama,7.5
21,20,Adventure,6.8
5.75,2,Drama,7.6
22,20,Adventure,7.8
22,1,Adventure,5.3
16.4,30,Drama,7.4
18,10,Adventure,7.4
17.5,30,Adventure,5.4
22.4,5,Action,7
22,1,Drama,7.7
30,20,Adventure,6.5
5.75,30,Documentary,7.4
9.6,30,Action,6.3
13,30,Documentary,7.9
7.3333,30,History,7.8
5.6,3,Documentary,8.7
12.4,1,Drama,7.1
5.25,1,Drama,7.3
12.4,2,Comedy,7.2
1,3,Drama,7.8
24,1,Drama,8.4
3,8,Drama,7.4
1.25,1,Comedy,7.6
22.8,3,Drama,8.2
6.6,20,Drama,8.2
26,1,Drama,7.8
22,25,Comedy,6
14.2,20,Comedy,7.9
10.8,1,Drama,7.5
15.25,1,Drama,7.5
20,1,Drama,8.5
11.8,1,Drama,5.8
30,20,Adventure,7.1
12.6,8,Drama,8.2
8.2,1,Thriller,7.2
1,3,Drama,0
4.6,1,Documentary,8.4
13.2,10,Drama,7.7
6.6,20,Comedy,7.1
15.5,20,Drama,7.8
20,10,Drama,6.5
14.4,1,Animation,8.1
26,30,Adventure,8.1
1.2,20,Comedy,7.9
28,1,Adventure,7.5
24,20,Adventure,7.2
6.8,1,Drama,7.9
12.8,3,Drama,8
4.2,5,Drama,6.9
23.6,10,Drama,6.7
3.4,1,Drama,7.9
20,1,Adventure,8.2
20,1,Adventure,8.3
23.6,30,Adventure,8
26,30,Adventure,7.8
26,30,Adventure,8.2
9.6,20,Drama,7.6
8.8,8,Drama,8.1
30,1,Drama,7.3
10.4,1,Drama,7
14.6,20,Adventure,7.6
20.25,1,Drama,8.1
8.6,3,Adventure,6.8
8.6,8,Drama,8.3
23.6,1,Drama,7.2
17.5,30,Drama,7.5
16,8,Adventure,7.5
14,1,Action,6.5
20,3,Adventure,7.2
1.2,1,Drama,7.2
11.6,8,Drama,8
21,1,History,7.3
9,1,Drama,7.9
8.6,1,Drama,7.6
14.8,20,Drama,7.6
16.4,5,Horror,7.1
18.2,1,Drama,7.8
16.8,3,Action,7.3
30,30,Drama,7.2
20,5,Drama,6.4
16.4,20,Drama,7.4
14.4,1,Thriller,8.7
18.6,30,Drama,8.1
12.4,20,Drama,6.9
8.6,30,Horror,5.2
14.2,1,Drama,6.9
22,10,Adventure,7.4
8.6,1,Drama,6.7
14.4,10.5,Action,6.7
5.6,1,Horror,6.2
14.2,1,Horror,6.3
3.25,1,Horror,5.3
19.6,20,Adventure,6.2
24.2,1,Drama,8
10.8,3,Drama,7.4
32.5,20,Drama,7.6
1,3,Drama,7.3
16.2,30,Action,7.6
27,3,Adventure,7
17,8,Adventure,6.6
4.8,3,Adventure,8.5
18.2,1,Drama,6.5
6.6,3,Comedy,8
8.4,20,Drama,8.6
1.2,1,Drama,8.1
2.6,1,Drama,7.9
2.4,1,Drama,8.3
3.5,1,Drama,7.7
16.4,1,Comedy,6.1
12.2,3,Adventure,6.5
14.2,1,Comedy,6.5
11,1,Drama,6.8
14.8,1,Comedy,6.5
7,20,Adventure,7.3
22,20,Drama,8.1
17.8,1,Drama,6.7
5.6,1,Drama,7.5
20,20,Drama,7.9
8.8,1,Drama,7.5
18.4,5,Action,6.7
20.2,1,Drama,7.7
26,8,Drama,6.6
18.2,1,Action,7.9
9.4,1,Drama,8.5
14.2,30,Western,7.8
16.2,1,Drama,8.1
13,8,Drama,7.4
16.2,1,Comedy,7.2
22,8,Adventure,7.6
9.2,10.5,Fantasy,8.2
16.2,8,Drama,7.7
18,3,'Science Fiction',7.5
21.6,1,Comedy,7
13.6,20,Thriller,6.6
11.6,1,Comedy,6.5
12.4,20,Drama,7.4
22.2,20,Adventure,7.1
8.5,8,Horror,5.9
8,1,Action,5.9
14.2,10,Drama,6.5
5.6,1,Drama,0
11.25,1,Action,6
18.2,1,Drama,7.6
18.4,20,Drama,6.5
1,3,Horror,0
12.2,10.5,Comedy,7.3
8,30,Drama,8.2
20,10,Action,6.8
14.2,3,Drama,7.2
26,4.5,Adventure,6.8
15.6,10,Drama,6.8
26,5,Drama,8.6
24,8,Adventure,6.8
17.8,1,Comedy,6.4
16.2,2,Comedy,7
16,1,Drama,0
30,20,Drama,7.5
11,8,Adventure,7
10.6,1,Action,6.5
25,30,Drama,6.7
20,20,Drama,7.3
14,1,Drama,5.9
28,3,Thriller,6.5
20,3,Adventure,6.8
3,1,Adventure,0
4.4,1,Adventure,7.9
11.6,3,Action,6.3
10,1,Drama,7.3
11,20,Adventure,7.2
7,1,Comedy,6.2
9.8,3,Drama,6.5
12.75,8,Comedy,6.8
18.4,20,Action,7.2
1.4,1,Comedy,0
1,8,Drama,0
6.8,20,Drama,8.1
22.5,8,Adventure,7.1
16.8,1,Drama,6.5
17.6,1,Drama,6.4
12,1,Drama,7.8
22.2,1,Drama,6.3
10,1,Drama,7.4
18.4,5,Thriller,7.4
26,30,Drama,7
16.2,20,Drama,7.2
1,1,Documentary,8.5
24.2,7.0952,Drama,8.3
6.6,1,Adventure,6.8
22.4,20,Adventure,6.4
2.8,1,Fantasy,7.4
28,30,Adventure,7.6
15.2,3,Drama,7.2
20,8,Comedy,8.5
12.8,1,Fantasy,7.9
18.4,8,Comedy,7
24.2,3,Drama,7.8
22.4,1,Drama,8
